house,test_ratio,sampling_ratio,feature_length,accuracy
r1,0.8,30,1800,0.729910714286
r1,0.8,30,3600,0.729910714286
r1,0.8,60,300,0.735305059524
r1,0.8,60,600,0.63244047619
r1,0.8,60,900,0.635602678571
r1,0.8,60,1800,0.686383928571
r1,0.8,60,3600,0.707589285714
r1,0.8,300,900,0.659040178571
r1,0.8,300,1800,0.736607142857
r1,0.8,300,3600,0.727678571429
r1,0.8,600,1800,0.736607142857
r1,0.8,600,3600,0.729910714286
r1,0.8,900,3600,0.729910714286
r2,0.3,1,300,0.998148148148
r2,0.3,1,600,0.401388888889
r2,0.3,1,900,0.788194444444
r2,0.3,1,1800,0.755555555556
r2,0.3,1,3600,0.211111111111
r2,0.3,5,300,0.831018518519
r2,0.3,5,600,0.331018518519
r2,0.3,5,900,0.6875
r2,0.3,5,1800,0.477777777778
r2,0.3,5,3600,0.380555555556
r2,0.3,10,300,0.567824074074
r2,0.3,10,600,0.469907407407
r2,0.3,10,900,0.691666666667
r2,0.3,10,1800,0.826388888889
r2,0.3,10,3600,0.316666666667
r2,0.3,30,300,0.684490740741
r2,0.3,30,600,0.398611111111
r2,0.3,30,900,0.845138888889
r2,0.3,30,1800,0.625
r2,0.3,30,3600,0.311111111111
r2,0.3,60,300,0.59212962963
r2,0.3,60,600,0.473611111111
r2,0.3,60,900,0.755555555556
r2,0.3,60,1800,0.879166666667
r2,0.3,60,3600,0.283333333333
r2,0.3,300,900,0.377777777778
r2,0.3,300,1800,0.511111111111
r2,0.3,300,3600,0.433333333333
r2,0.3,600,1800,0.395833333333
r2,0.3,600,3600,0.45
r2,0.3,900,3600,0.491666666667
r2,0.4,1,300,0.949131944444
r2,0.4,1,600,0.995833333333
r2,0.4,1,900,0.745833333333
r2,0.4,1,1800,0.996875
r2,0.4,1,3600,0.39375
r2,0.4,5,300,0.875347222222
r2,0.4,5,600,0.878819444444
r2,0.4,5,900,0.692708333333
r2,0.4,5,1800,0.88125
r2,0.4,5,3600,0.391666666667
r2,0.4,10,300,0.872395833333
r2,0.4,10,600,0.624305555556
r2,0.4,10,900,0.7234375
r2,0.4,10,1800,0.875
r2,0.4,10,3600,0.314583333333
r2,0.4,30,300,0.780555555556
r2,0.4,30,600,0.682291666667
r2,0.4,30,900,0.708854166667
r2,0.4,30,1800,0.892708333333
r2,0.4,30,3600,0.383333333333
r2,0.4,60,300,0.606770833333
r2,0.4,60,600,0.779861111111
r2,0.4,60,900,0.866145833333
r2,0.4,60,1800,0.625
r2,0.4,60,3600,0.28125
r2,0.4,300,900,0.667708333333
r2,0.4,300,1800,0.790625
r2,0.4,300,3600,0.41875
r2,0.4,600,1800,0.634375
r2,0.4,600,3600,0.329166666667
r2,0.4,900,3600,0.375
r2,0.5,1,300,0.159861111111
